,City Name,Cloudiness,Country,Date,Humidity,Lat,Lng,Temp,Wind
0,Adrar,0,DZ,1562474886,10,27.87,-0.29,303.15,5.7
1,Seydi,35,NE,1562475469,56,13.34,7.75,301.891,7.21
2,Barrow,0,AR,1562475469,77,-38.31,-60.23,276.891,4.58
3,Talnakh,40,RU,1562475470,55,69.49,88.39,289.15,7.0
4,Mackay,90,CA,1562475470,93,53.65,-115.58,288.15,2.1
5,Jamestown,78,AU,1562475470,71,-33.21,138.6,286.791,4.19
6,Cidreira,95,BR,1562475471,70,-30.17,-50.22,281.591,4.2
7,Butaritari,77,KI,1562475471,73,3.07,172.79,301.491,3.27
8,Mahebourg,40,MU,1562475303,78,-20.41,57.7,297.04,3.1
9,Hilo,90,US,1562475441,69,19.71,-155.08,300.15,4.1
10,Chunskiy,22,RU,1562475472,37,56.08,99.63,299.091,3.2
11,Mataura,93,NZ,1562475472,79,-46.19,168.86,281.48,9.83
12,Rikitea,100,PF,1562475472,84,-23.12,-134.97,293.891,14.32
13,Codrington,90,AU,1562475473,87,-28.95,153.24,290.15,3.6
14,Umm Kaddadah,33,SD,1562475473,44,13.6,26.69,302.591,5.36
15,Qaanaaq,82,GL,1562475473,65,77.48,-69.36,279.591,1.0
16,Atuona,93,PF,1562475474,80,-9.8,-139.03,299.991,10.01
17,Puerto Ayora,57,EC,1562475449,91,-0.74,-90.35,294.26,0.45
18,Fare,21,PF,1562475474,84,-16.7,-151.02,298.091,9.92
19,Pangody,98,RU,1562475474,43,65.85,74.49,291.691,8.06
20,Najran,5,SA,1562475475,21,17.54,44.22,300.15,1.0
21,New Norfolk,0,AU,1562475475,66,-42.78,147.06,287.59,2.1
22,Ancud,0,CL,1562475475,87,-41.87,-73.83,280.15,4.6
23,Challapata,0,BO,1562475476,47,-18.9,-66.78,280.691,2.21
24,Vaini,75,IN,1562475476,88,15.34,74.49,297.15,6.2
25,Faanui,18,PF,1562475476,83,-16.48,-151.75,298.591,10.03
26,Tuatapere,76,NZ,1562475476,79,-46.13,167.69,281.48,9.83
27,Riyadh,0,SA,1562475246,17,24.63,46.72,305.15,5.02
28,Bereda,20,ES,1562475477,93,43.27,-7.54,289.82,1.0
29,Moultrie,90,US,1562475477,94,31.18,-83.79,298.15,2.6
30,Punta Arenas,0,CL,1562475478,93,-53.16,-70.91,278.15,7.7
31,Sabaudia,0,IT,1562475478,83,41.3,13.03,296.48,1.5
32,Albany,90,US,1562475478,100,42.65,-73.75,296.15,1.59
33,Khatanga,71,RU,1562475479,52,71.98,102.47,286.291,6.57
34,Port Elizabeth,75,US,1562475479,100,39.31,-74.98,296.48,3.6
35,Hamilton,90,CA,1562475431,94,43.26,-79.87,297.04,3.1
36,Thatta,40,IN,1562475479,70,31.7,74.64,305.15,2.1
37,Uige,64,AO,1562475480,86,-7.61,15.06,290.591,1.5
38,Poitiers,0,FR,1562475480,82,46.58,0.34,294.82,2.6
39,Hermanus,68,ZA,1562475480,98,-34.42,19.24,285.93,1.79
40,Sao Joao da Barra,8,BR,1562475481,88,-21.64,-41.05,285.291,1.12
41,Airai,72,TL,1562475481,44,-8.93,125.41,300.591,1.09
42,San Patricio,0,PY,1562475481,90,-26.98,-56.83,274.991,2.16
43,Belmonte,0,PT,1562475482,67,40.36,-7.35,287.59,0.3
44,Husavik,0,CA,1562475482,79,50.56,-96.99,286.48,1.58
45,Mar del Plata,4,AR,1562475482,75,-46.43,-67.52,277.691,1.82
46,Longyearbyen,0,NO,1562475482,66,78.22,15.63,285.15,1.0
47,Bredasdorp,72,ZA,1562475420,77,-34.53,20.04,288.15,5.1
48,Toktogul,0,KG,1562475183,97,41.87,72.95,294.82,2.57
49,Huarmey,34,PE,1562475483,89,-10.07,-78.15,290.591,5.35
50,Lugovskoy,0,RU,1562475484,64,56.96,64.53,293.15,5.0
51,Byron Bay,90,AU,1562475484,87,-28.65,153.62,292.59,3.6
52,Bridlington,100,GB,1562475484,87,54.08,-0.19,287.04,0.5
53,Hithadhoo,99,MV,1562475185,67,-0.6,73.08,302.391,3.55
54,Te Anau,100,NZ,1562475485,70,-45.41,167.72,280.391,5.43
55,Hambantota,75,LK,1562475446,66,6.12,81.12,305.15,7.7
56,Volchansk,72,RU,1562475485,46,59.94,60.08,292.491,5.38
57,Ushuaia,40,AR,1562475317,80,-54.81,-68.31,277.15,5.1
58,Antalaha,18,MG,1562475486,79,-14.9,50.28,295.091,1.9
59,Kondinskoye,3,RU,1562475486,54,59.65,67.41,293.491,5.61
60,Mogadishu,63,SO,1562475278,70,2.04,45.34,300.791,7.13
